Source,Spectrum,regime,telescope,instrument,mode,observation_date,wavelength_units,flux_units,wavelength_order,spectrum comments ,spectrum reference,Discovery reference
LHS 102B,https://bdnyc.s3.amazonaws.com/xshooter/LHS102B_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 October 16,[blank],[blank],[blank], ,Manj16,
2MASS J00361617+1821104,https://bdnyc.s3.amazonaws.com/xshooter/2M0036_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 November 7,,,,,Manj16,
2MASS J00531899−3631102,https://bdnyc.s3.amazonaws.com/xshooter/2M0053_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 October 16,,,,,Manj16,
SIMP J013656.5+093347.3,https://bdnyc.s3.amazonaws.com/xshooter/IPMS0136_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 December 14,,,,,Manj16,Arti06
2MASS J01443536−0716142,https://bdnyc.s3.amazonaws.com/xshooter/2M0144_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 December 14,,,,,Manj16,
2MASS J02182913−3133230,https://bdnyc.s3.amazonaws.com/xshooter/2M0218_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2010 January 4,,,,,Manj16,
DENIS-P J0255.0−4700,https://bdnyc.s3.amazonaws.com/xshooter/DE0255_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 October 17,,,,,Manj16,
2MASS J03480772−6022270,https://bdnyc.s3.amazonaws.com/xshooter/2M0348_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 October 16,,,,,Manj16,
2MASS J03552337+1133437,https://bdnyc.s3.amazonaws.com/xshooter/2M0355_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 December 21,,,,,Manj16,
SDSS J042348.56-041403.5,https://bdnyc.s3.amazonaws.com/xshooter/SD0423_total.fits ,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 December 26,,,,,Manj16,
2MASS J04390101−2353083,https://bdnyc.s3.amazonaws.com/xshooter/2M0439_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 December 21,,,,,Manj16,
2MASS J04532647−1751543,https://bdnyc.s3.amazonaws.com/xshooter/2M0453_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 December 21,,,,,Manj16,
2MASS J05002100+0330501,https://bdnyc.s3.amazonaws.com/xshooter/2M0500_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2010 February 05,,,,,Manj16,
2MASS J05395200−0059019,https://bdnyc.s3.amazonaws.com/xshooter/SD0539_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2010 January 17,,,,,Manj16,
2MASS J06244595−4521548,https://bdnyc.s3.amazonaws.com/xshooter/2M0624_total.fits,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 December 16,,,,,Manj16,
Gl 229B,https://bdnyc.s3.amazonaws.com/xshooter/GJ229B_total.fits ,em.IR.NIR,ESO VLT,XShooter,Echelle,2009 December 14,,,,,Manj16,
