Source,Spectrum,regime,telescope,instrument,mode,observation_date,wavelength_units,flux_units,wavelength_order,spectrum comments ,spectrum reference,discovery reference,Other spectrum refs, 
[BZR99] S Ori 70 ,https://bdnyc.s3.amazonaws.com/WFC3/SOri70.csv,em.IR.NIR,HST ,WFC3,G141 grism,Sep-05-2010,micron,erg cm-2 s-1 A-1,,,Manj19,,"Luca10.12217, Pena15", 
[BZR99] S Ori 73,https://bdnyc.s3.amazonaws.com/WFC3/SOri73.csv,em.IR.NIR,HST ,WFC3,G141 grism,Oct-06-2010,micron,erg cm-2 s-1 A-1,,,Manj19,,"Luca10.12217, Pena15",
2MASS J00001354+2554180,https://bdnyc.s3.amazonaws.com/WFC3/J0000%2B25.csv,em.IR.NIR,HST ,WFC3,G141 grism,Sep-23-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASS J00470038+6803543,https://bdnyc.s3.amazonaws.com/WFC3/WISE0047.csv,em.IR.NIR,HST ,WFC3,G141 grism,Jun-06-2016,micron,erg cm-2 s-1 A-1,,Multiple observation dates.,Manj19,,"Apai15.14241, Lew_16",
2MASS J01075242+0041563,https://bdnyc.s3.amazonaws.com/WFC3/S0107.csv,em.IR.NIR,HST ,WFC3,G141 grism,Jan-02-2017,micron,erg cm-2 s-1 A-1,,,Manj19,,Apai15.14241,
2MASS J03552337+1133437,https://bdnyc.s3.amazonaws.com/WFC3/J0355%2B11.csv,em.IR.NIR,HST ,WFC3,G141 grism,Oct-06-2015,micron,erg cm-2 s-1 A-1,,,Manj19, ,Apai15.14241,
2MASS J05395200-0059019,https://bdnyc.s3.amazonaws.com/WFC3/J0539-00.csv,em.IR.NIR,HST ,WFC3,G141 grism,Mar-01-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASS J05591914-1404488,https://bdnyc.s3.amazonaws.com/WFC3/J0559-14.csv,em.IR.NIR,HST ,WFC3,G141 grism,Oct-16-2011,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASS J06244595-4521548,https://bdnyc.s3.amazonaws.com/WFC3/J0624-45.csv,em.IR.NIR,HST ,WFC3,G141 grism,May-08-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASS J08173001-6155158,https://bdnyc.s3.amazonaws.com/WFC3/J0817-61.csv,em.IR.NIR,HST ,WFC3,G141 grism,Oct-09-2011,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
